Date,MMM,AAPL,CAT
2006-09-01,71.72,9.77,67.27
2006-09-05,71.35,10.21,69.68
2006-09-06,71.5,10,69.13
2006-09-07,70.59,10.4,67.76
2006-09-08,71.51,10.36,67.32
2006-09-11,71.35,10.36,65.51
2006-09-12,72.57,10.38,65.15
2006-09-13,73.37,10.6,66.33
2006-09-14,73.53,10.6,65.51
2006-09-15,74.14,10.59,65.43
2006-09-18,73.89,10.56,66.99
2006-09-19,73.25,10.54,66.56
2006-09-20,73.42,10.75,65.88
2006-09-21,73.11,10.66,64.54
2006-09-22,73.07,10.43,62.77
2006-09-25,73.7,10.82,64.33
2006-09-26,74.75,11.09,65.9
2006-09-27,74.65,10.92,65.68
2006-09-28,74.6,11,66.59
2006-09-29,74.42,11,65.8
2006-10-02,73.59,10.69,65.36
2006-10-03,74.03,10.58,65.11
2006-10-04,74.87,10.77,65.54
2006-10-05,75.92,10.69,68.24
2006-10-06,75.95,10.6,68.05
2006-10-09,75.8,10.66,68.9
2006-10-10,75.2,10.54,69.06
2006-10-11,75.47,10.46,68.32
2006-10-12,75.43,10.75,69.25
2006-10-13,75.4,10.72,69.08
2006-10-16,75.75,10.77,69.93
2006-10-17,75.8,10.61,69.9
2006-10-18,75.53,10.65,69.08
2006-10-19,76.4,11.28,69.02
2006-10-20,78.47,11.42,59
2006-10-23,80.09,11.64,60.42
2006-10-24,79.89,11.58,60.93
2006-10-25,79.46,11.67,61.91
2006-10-26,79.24,11.74,62.35
2006-10-27,78.95,11.49,61.27
2006-10-30,78.94,11.49,60.76
2006-10-31,78.84,11.58,60.71
2006-11-01,78.84,11.31,60.5
2006-11-02,78.88,11.28,60.56
2006-11-03,78.58,11.18,60.43
2006-11-06,79.59,11.39,59.85
2006-11-07,79.42,11.5,59.92
2006-11-08,79.42,11.78,60.1
2006-11-09,78.9,11.91,59.2
2006-11-10,79.19,11.87,59.6
2006-11-13,79.5,12.05,59.52
2006-11-14,80.09,12.1,60.36
2006-11-15,80.71,12.01,61.45
2006-11-16,80.29,12.23,61.37
2006-11-17,81.4,12.26,60.94
2006-11-20,81.38,12.35,60.91
2006-11-21,81.64,12.66,62.19
2006-11-22,81.47,12.9,62.79
2006-11-24,81.15,13.09,62.87
2006-11-27,80.23,12.79,61.97
2006-11-28,80.41,13.12,61.6
2006-11-29,80.98,13.11,62.06
2006-11-30,81.46,13.09,62.03
2006-12-01,79.98,13.05,61.19
2006-12-04,80.89,13.02,61.49
2006-12-05,80.56,13.04,62.15
2006-12-06,79.8,12.83,63.05
2006-12-07,79.56,12.43,63
2006-12-08,78.56,12.61,63.4
2006-12-11,78.85,12.68,63.07
2006-12-12,79.01,12.31,62.28
2006-12-13,79.25,12.72,61.49
2006-12-14,78.77,12.65,62.12
2006-12-15,78.31,12.53,61.82
2006-12-18,78.35,12.21,61.92
2006-12-19,78.11,12.33,61.52
2006-12-20,78.83,12.11,61.37
2006-12-21,78.81,11.84,60.81
2006-12-22,78.35,11.74,60.59
2006-12-26,78.03,11.64,60.9
2006-12-27,78.47,11.65,61.47
2006-12-28,78.16,11.55,61.31
2006-12-29,77.93,12.12,61.33
2007-01-03,78.26,11.97,61.16
2007-01-04,77.95,12.24,61
2007-01-05,77.42,12.15,60.22
2007-01-08,77.59,12.21,60.29
2007-01-09,77.68,13.22,60.62
2007-01-10,77.85,13.86,60.32
2007-01-11,78.65,13.69,60
2007-01-12,79.36,13.52,59.74
2007-01-16,79.56,13.87,59.24
2007-01-17,78.91,13.56,59.91
2007-01-18,78.81,12.72,59.9
2007-01-19,79.25,12.64,59.37
2007-01-22,78.49,12.4,58.17
2007-01-23,78.85,12.24,59.56
2007-01-24,79.49,12.39,59.73
2007-01-25,79.01,12.32,59.63
2007-01-26,78.69,12.2,61.09
2007-01-29,78.96,12.28,61.7
2007-01-30,74.7,12.22,62.88
2007-01-31,74.3,12.25,64.07
2007-02-01,73.99,12.11,64.99
2007-02-02,73.87,12.11,65.25
2007-02-05,73.93,11.99,64.49
2007-02-06,74.27,12.02,64.42
2007-02-07,74.65,12.31,65.64
2007-02-08,74.64,12.31,65.63
2007-02-09,74.54,11.9,64.8
2007-02-12,74.59,12.13,64.6
2007-02-13,76.43,12.09,64.73
2007-02-14,76.84,12.19,66.16
2007-02-15,76.91,12.17,67.62
2007-02-16,76.84,12.12,67.67
2007-02-20,76.58,12.27,67.93
2007-02-21,76.23,12.74,68.21
2007-02-22,76.35,12.79,67.78
2007-02-23,76.21,12.72,67.26
2007-02-26,76.12,12.66,67.26
2007-02-27,74.5,11.99,64.83
2007-02-28,74.08,12.09,64.43
2007-03-01,73.66,12.44,63.9
2007-03-02,73.01,12.2,63.04
2007-03-05,73.17,12.33,63.17
2007-03-06,73.47,12.6,63.62
2007-03-07,73.8,12.53,64.23
2007-03-08,74.52,12.57,64.3
2007-03-09,74.73,12.57,64.4
2007-03-12,75.17,12.84,64.57
2007-03-13,74.77,12.63,63.34
2007-03-14,75.8,12.86,63.64
2007-03-15,75.99,12.8,63.46
2007-03-16,75.28,12.8,63.16
2007-03-19,76.36,13.02,64.17
2007-03-20,76.38,13.07,64.86
2007-03-21,76.9,13.41,66.21
2007-03-22,77.78,13.42,66.54
2007-03-23,77.97,13.36,66.88
2007-03-26,77.38,13.69,66.84
2007-03-27,77.17,13.64,66.88
2007-03-28,76.38,13.32,66.24
2007-03-29,76.09,13.39,66.19
2007-03-30,76.43,13.27,67.03
2007-04-02,76.28,13.38,66.75
2007-04-03,77.46,13.5,67.24
2007-04-04,77.16,13.47,67.48
2007-04-05,76.75,13.53,67.63
2007-04-09,76.83,13.38,67.34
2007-04-10,76.5,13.46,66.95
2007-04-11,76.23,13.23,66.35
2007-04-12,76.71,13.17,66.64
2007-04-13,76.72,12.89,66.79
2007-04-16,77.16,13.06,66.9
2007-04-17,77.28,12.91,67.66
2007-04-18,77.08,12.91,69.37
2007-04-19,77.58,12.9,68.62
2007-04-20,77.75,13,71.82
2007-04-23,77.28,13.36,71.85
2007-04-24,77,13.32,72.81
2007-04-25,76.97,13.62,73.23
2007-04-26,80.45,14.12,73
2007-04-27,81.55,14.27,73.76
2007-04-30,82.77,14.26,72.62
2007-05-01,83.61,14.21,73.24
2007-05-02,84.42,14.34,73.4
2007-05-03,84.07,14.34,73.36
2007-05-04,84.21,14.4,73.1
2007-05-07,84.93,14.85,72.67
2007-05-08,84.78,15.01,73.43
2007-05-09,85.36,15.27,74.75
2007-05-10,84.65,15.33,73.81
2007-05-11,85.55,15.53,74.88
2007-05-14,84.83,15.62,76.3
2007-05-15,86.17,15.36,76.01
2007-05-16,86.01,15.33,75.95
2007-05-17,86.67,15.63,74.84
2007-05-18,86.9,15.72,74.77
2007-05-21,87.06,16,74.85
2007-05-22,87.78,16.22,75.51
2007-05-23,87.94,16.13,76.03
2007-05-24,87.15,15.81,75.43
2007-05-25,87.35,16.23,75.71
2007-05-29,87.31,16.34,75.75
2007-05-30,87.93,16.97,78.48
2007-05-31,87.96,17.31,78.58
2007-06-01,88.43,16.91,78.14
2007-06-04,88.07,17.33,78.29
2007-06-05,87.46,17.52,78.65
2007-06-06,86.62,17.66,78.68
2007-06-07,84.88,17.72,77.31
2007-06-08,85.94,17.78,78.52
2007-06-11,85.3,17.17,78.75
2007-06-12,85.04,17.2,78.08
2007-06-13,87.19,16.79,79.93
2007-06-14,87.42,16.96,80.73
2007-06-15,87.67,17.21,81.11
2007-06-18,87.62,17.87,81.85
2007-06-19,87.82,17.67,82.49
2007-06-20,87.08,17.36,81.38
2007-06-21,87.41,17.7,81.47
2007-06-22,86.43,17.57,80.9
2007-06-25,86.25,17.48,80.7
2007-06-26,86.08,17.09,80.29
2007-06-27,87.13,17.41,79.51
2007-06-28,86.85,17.22,79.09
2007-06-29,86.79,17.43,78.3
2007-07-02,88,17.32,80.45
2007-07-03,87.94,18.17,77.99
2007-07-05,87.76,18.96,77.49
2007-07-06,88.11,18.9,78.81
2007-07-09,88.11,18.62,79.83
2007-07-10,87.22,18.91,81.22
2007-07-11,87.88,18.91,82.17
2007-07-12,89.93,19.15,84.09
2007-07-13,90.22,19.68,85.13
2007-07-16,90.87,19.73,85.9
2007-07-17,91.08,19.84,86.47
2007-07-18,91.48,19.73,86.23
2007-07-19,91.17,20,86.98
2007-07-20,90.21,20.54,83.2
2007-07-23,90.87,20.53,82
2007-07-24,89.69,19.27,81.66
2007-07-25,89.62,19.61,80.5
2007-07-26,90.05,20.86,78.29
2007-07-27,90.05,20.55,76.02
2007-07-30,90.18,20.2,77.04
2007-07-31,88.92,18.82,78.8
2007-08-01,89.07,19.29,80.13
2007-08-02,89.12,19.5,80.67
2007-08-03,87.56,18.84,78.96
2007-08-06,87.77,19.32,81
2007-08-07,88.03,19.29,80.44
2007-08-08,88.15,19.14,80.9
2007-08-09,86.86,18.06,78.48
2007-08-10,85.97,17.86,77.55
2007-08-13,86.25,18.26,77.9
2007-08-14,85.76,17.72,76.77
2007-08-15,85.06,17.13,74.95
2007-08-16,85.4,16.72,73
2007-08-17,87.83,17.44,72.64
2007-08-20,88.27,17.46,74.05
2007-08-21,88.46,18.22,74.28
2007-08-22,89.07,18.93,75.3
2007-08-23,88.75,18.72,75.17
2007-08-24,89.15,19.33,76.32
2007-08-27,88.7,18.89,76
2007-08-28,87.62,18.12,74.16
2007-08-29,88.76,19.15,75.04
2007-08-30,89.36,19.46,74.66
2007-08-31,90.99,19.78,75.77
2007-09-04,91.15,20.59,76.85
2007-09-05,89.92,19.54,75.54
2007-09-06,90.63,19.29,75.75
